Panoid;lat;lng;f;s_a;s_b;b
5869;51.513871;-0.091091;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services;Residential street, Retail and Commercial Services;Residential street, Retail and Commercial Services
7486;51.515154;-0.088388;Pedestrian, Public and Government Buildings;Residential street, Public and Government Buildings;Pedestrian, Retail and Commercial Services;Residential street, Public and Government Buildings
7795;51.516479;-0.087699;Residential, Transportation and Mobility;Residential, Food and Beverage;Pedestrian, Retail and Commercial Services;Residential, Food and Beverage
8784;51.51861;-0.082215;Pedestrian, Transportation and Mobility;Pedestrian, Transportation and Mobility;Pedestrian, Transportation and Mobility;Pedestrian, Food and Beverage
7822;51.517042;-0.088778;Residential Street, Retail and Commercial Services;Residential Street,  Transportation and Mobility;Residential Street, Financial and Administrative Services;Residential Street,  Transportation and Mobility
8324;51.515484;-0.080056;Main road, residential ;Main Road ,  Transportation and Mobility;Main road, residential ;Main Road ,  Transportation and Mobility
148;51.509669;-0.10434;Main road, bridge;Main road, bridge;Main road, bridge;Main road, bridge
8709;51.518719;-0.083856;Pedestrian,  Food and Beverage;Pedestrian, Public Amenities;Pedestrian,  Public Amenities;Pedestrian,  Public Amenities
8435;51.515569;-0.076142;Residential Street, Retail and Commercial Services;Residential Street, Retail and Commercial Services;Residential Street,  Transportation and Mobility;Residential Street,  Transportation and Mobility
5379;51.512002;-0.091939;Main road, residential ;Main Road ,  Transportation and Mobility;Residential Street, Retail and Commercial Services;Main Road,  Food and Beverage
1430;51.513984;-0.093182;Residential Street, Retail and Commercial Services;Residential Street,  Transportation and Mobility;Residential Street, Retail and Commercial Services;Residential Street,  Public Services and Utilities
466;51.512113;-0.102724;Main road, Education and Learning Spaces;Main Road ,  Transportation and Mobility;Main Road ,  Transportation and Mobility;Main Road ,  Transportation and Mobility
5074;51.509957;-0.079195;Residential Street,  Transportation and Mobility;Residential Street,  Transportation and Mobility;Residential Street,  Transportation and Mobility;Pedestrian,  Public Amenities
3757;51.520399;-0.099335;Residential Street, Greenery;Residential Street,  Transportation and Mobility;Residential Street, residential;Residential Street,  Transportation and Mobility
4679;51.509275;-0.087201;Main road, Public and Government Buildings;Main Road ,  Transportation and Mobility;Main road, Public and Government Buildings;Main Road ,  Transportation and Mobility
4142;51.521209;-0.095271;Residential Street, residential;Residential Street,  Public Services and Utilities;Residential Street, residential;Residential Street,  Transportation and Mobility
8346;51.51515;-0.078387;Residential Street, Retail and Commercial Services;Residential Street, Food and Beverage;Residential Street, Food and Beverage;Residential Street,  Transportation and Mobility
8594;51.518156;-0.079242;Residential Street, Food and Beverage;Residential Street, Food and Beverage;Residential Street, Food and Beverage;Residential Street, Food and Beverage
4880;51.510686;-0.088307;Residential Street, Greenery;Residential Street,  Transportation and Mobility;Residential Street,  Retail and Commercial Services;Residential Street,  Retail and Commercial Services
4985;51.509245;-0.080628;Main road, residential ;Main road,  Transportation and Mobility;Main road,  Transportation and Mobility;Main road,  Transportation and Mobility
2281;51.518262;-0.091645;Main road, Greenery;Main road,  Transportation and Mobility;Main road,  Public Amenities;Main road,  Transportation and Mobility
410;51.511969;-0.106257;Residential Street,  Transportation and Mobility;Residential Street,  Transportation and Mobility;Residential Street,  Retail and Commercial Services;Residential Street,  Transportation and Mobility
1750;51.515248;-0.090181;Residential Street,  Public and Government Buildings;Residential Street,  Transportation and Mobility;Residential Street,  Public and Government Buildings;Residential Street,  Transportation and Mobility
4090;51.520236;-0.092492;Main road,  Transportation and Mobility;Main road,  Transportation and Mobility;Main road, Public and Government Buildings;Main road,  Transportation and Mobility
590;51.512459;-0.104143;Pedestrian, Food and Beverage;Main road,  Transportation and Mobility;Main road, Food and Beverage;Main road, Transportation and Mobility
754;51.51322;-0.101175;Pedestrian, Retail and Commercial Services;Residential street, Residential;Residential street, Food and Beverage;Pedestrian, Residential
806;51.513302;-0.105451;Pedestrian, Residential;Pedestrian, Residential;Pedestrian, Residential;Pedestrian, Residential
940;51.514148;-0.103198;Pedestrian, Food and Beverage;Main road, Food and Beverage;Main road, Transportation and Mobility;Main road, Retail and Commercial Services
1116;51.512784;-0.108416;Residential street, Food and Beverage;Residential street, Residential;Residential street, Residential;Residential street, Residential
1334;51.51484;-0.111364;Pedestrian, Public and Government Buildings;Main road, Public and Government Buildings;Pedestrian, Public and Government Buildings;Main road, Public and Government Buildings
1465;51.514393;-0.092431;Pedestrian, Food and Beverage;Main road, Retail and Commercial Services;Pedestrian, Residential, Retail and Commercial Services;Main road, Retail and Commercial Services
2991;51.515998;-0.101984;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Pedestrian, Retail and Commercial Services
3640;51.519018;-0.100729;Main road, Transportation and Mobility;Main road,  Retail and Commercial Services;Pedestrian, Entertainment and Cultural Spaces;Main road, Transportation and Mobility
3759;51.520396;-0.09941;Main road, Greenery;Main road, Greenery;Main road, Greenery;Main road, Public Amenities
4699;51.509816;-0.088368;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
5136;51.510768;-0.078266;Residential street, Public and Government Buildings;Residential street, Public and Government Buildings;Residential street, Public and Government Buildings;Residential street, Public and Government Buildings
5190;51.510222;-0.089782;Main road, Public Services and Utilities;Main road, Public Services and Utilities;Main road, Public Services and Utilities;Main road, Public Services and Utilities
6954;51.51202;-0.08904;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Pedestrian, Retail and Commercial Services
7028;51.512179;-0.083185;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services
7039;51.512737;-0.083233;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services
7062;51.512835;-0.084505;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
7074;51.513382;-0.086671;Pedestrian, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
7155;51.513844;-0.087554;Main road, Public and Government Buildings;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
8971;51.522449;-0.097624;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
4010;51.519799;-0.091327;Pedestrian,  Public and Government Buildings;Main Road,  Public and Government Buildings;Pedestrian, Greenery;Main Road, Greenery
7499;51.515658;-0.087379;Pedestrian, Financial, Administrative Services;Pedestrian, Food, Beverage;Pedestrian, Food, Beverage;Main Road, Food, Beverage
6558;51.513821;-0.078688;Pedestrian, Food, Beverage;Main Road,  Public and Government Buildings;Pedestrian, Food, Beverage;Main Road,  Public and Government Buildings
3456;51.51775;-0.103488;Pedestrian,  Public and Government Buildings;Main Road,  Transportation and Mobility;Main Road,  Public and Government Buildings;Main Road,  Public and Government Buildings
2410;51.51651;-0.108135;Main Road,  Public and Government Buildings;Main Road,  Public and Government Buildings;Main Road,  Public and Government Buildings;Pedestrian,  Public and Government Buildings
6125;51.511578;-0.076707;Pedestrian,  Public and Government Buildings;Main Road,   Public and Government Buildings;Pedestrian,  Public and Government Buildings;Main Road,  Public and Government Buildings
1302;51.514203;-0.107593;Main Road, Retail, Commercial Services;Pedestrian, Retail, Commercial Services;Pedestrian, Retail, Commercial Services;Main Road,  Public and Government Buildings
1568;51.515366;-0.096327;Main Road,  Public and Government Buildings;Pedestrian, Infrastructure of interest;Pedestrian,  Public and Government Buildings;Pedestrian,  Public and Government Buildings
7973;51.517646;-0.085108;Pedestrian,  Public and Government Buildings;Main Road,  Public and Government Buildings;Pedestrian, Financial, Administrative Services;Main Road, Greenery
8285;51.515317;-0.076513;Pedestrian, Food, Beverage;Pedestrian, Residential;Main Road,  Public and Government Buildings;Main Road, Greenery
4551;51.508882;-0.087311;Main Road,  Transportation and Mobility;Main Road,  Transportation and Mobility;Pedestrian, Pedestrian;Main Road,  Transportation and Mobility
1263;51.513915;-0.106903;Pedestrian,  Public and Government Buildings;Pedestrian,  Public and Government Buildings;Pedestrian,  Public and Government Buildings;Pedestrian,  Public and Government Buildings
2166;51.518294;-0.092014;Residential Street, Residential;Main Road, Greenery;Pedestrian,  Public and Government Buildings;Main Road, Greenery
7166;51.513829;-0.08643;Pedestrian, Entertainment, Cultural Spaces;Pedestrian, Retail, Commercial Services;Pedestrian, Entertainment, Cultural Spaces;Pedestrian, Public Amenities
4810;51.509674;-0.082153;Pedestrian, Residential;Residential Street, Residential;Pedestiran,  Public and Government Buildings;Pedestrian, Infrastructure of interest
2497;51.516061;-0.109609;Infrastructure of interest;Residential Street,  Public and Government Buildings;Pedestrian,  Public and Government Buildings;Residential Street,  Public and Government Buildings
1;51.510418;-0.107077;River,  Public and Government Buildings;River, Bridge;River,  Public and Government Buildings;River, River
4768;51.509179;-0.082697;Pedestrian,  Public and Government Buildings;Main Road,  Public and Government Buildings;Main Road,  Public and Government Buildings;Main Road,  Public and Government Buildings
4187;51.521418;-0.094845;Pedestrian, Residential;Residential Street,  Public and Government Buildings;Pedestrian,  Public and Government Buildings;Residential Street, Residential
2980;51.515989;-0.100946;Pedestrian, Food, Beverage;Main Road,  Public and Government Buildings;Pedestrian,  Public and Government Buildings;Main Road,  Public , Government Buildings
2206;51.517493;-0.090129;Main road,  Public and Government Buildings;Main road,  Public and Government Buildings;Main road,  Public and Government Buildings;Main road,  Public and Government Buildings
6417;51.51302;-0.076587;Residential street, Education and Learning Spaces;Residential street, Education and Learning Spaces;Residential street, Financial and Administrative Services;Residential street, Financial and Administrative Services
4527;51.508454;-0.087489;Main road, bridge;Main road, bridge;Main road, bridge;Main road, bridge
3836;51.520746;-0.097378;Main road, Transportation and Mobility;Main road, Transportation and Mobility;Main road, Transportation and Mobility;Main road, Transportation and Mobility
3235;51.517742;-0.103077;Residential street, Residential;Residential street, Residential;Residential street, Residential;Residential street, Residential
3797;51.520554;-0.098554;Residential street, Retail and Commercial Services;Residential street, Retail and Commercial Services;Residential street, Retail and Commercial Services;Residential street, Retail and Commercial Services
6955;51.512044;-0.088996;Pedestrian, Retail and Commercial Services;Pedestrian, Financial and Administrative Services;Pedestrian, Retail and Commercial Services;Pedestrian, Retail and Commercial Services
1485;51.514417;-0.093191;Pedestrian,  Public and Government Buildings;Pedestrian, Financial and Administrative Services;Pedestrian, Financial and Administrative Services;Pedestrian, Financial and Administrative Services
4356;51.509836;-0.093531;Main road, Infrastructure of interest;Main road, Infrastructure of interest;Main road, Infrastructure of interest;Main road, Infrastructure of interest
504;51.512164;-0.102709;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services
4724;51.509761;-0.087029;Main road,  Public and Government Buildings;Main road,  Public and Government Buildings;Main road,  Public and Government Buildings;Main road,  Public and Government Buildings
7715;51.516394;-0.083708;Main road, Retail and Commercial Services;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services
10;51.510404;-0.109304;River, River;River, River;River, River;River, River
4787;51.509162;-0.08195;Main road, residential;Main road, residential;Main road, Residential;Main road, residential
3310;51.517692;-0.097245;Main road, Public and Government Buildings;Main road, Public and Government Buildings;Main road, Public and Government Buildings;Main road, Public and Government Buildings
6985;51.512487;-0.088013;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
6793;51.511473;-0.085391;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services;Main road, Financial and Administrative Services
8391;51.515832;-0.077906;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Pedestrian, Greenery
8009;51.518411;-0.084892;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
2999;51.51636;-0.102354;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services;Main road, Retail and Commercial Services
